City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
536,Inyonga,TZ,66.52,overcast clouds,-6.7167,32.0667,Eden Rock Lodge
541,Ukiah,US,56.01,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
543,Zandvoort,NL,52.05,few clouds,52.3749,4.5341,Pension & Spa de Watertoren
547,Ancud,CL,69.33,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
551,Mendi,PG,53.15,overcast clouds,-6.1761,143.6513,Kiburu Lodge
552,Mao,ES,50.56,clear sky,39.8885,4.2658,ARTIEM Capri
561,Marondera,ZW,62.33,moderate rain,-18.1853,31.5519,HopeFay Conference Centre
565,Port Macquarie,AU,66.09,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
567,Burnie,AU,60.94,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
576,Harqalah,TN,59.59,broken clouds,36.0303,10.509,Dar Khadija
578,Dickinson,US,58.21,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
588,Serenje,ZM,65.53,moderate rain,-13.2325,30.2352,The Kabaso's
591,Calatayud,ES,61.38,clear sky,41.3535,-1.6432,Globales Castillo de Ayud
593,Souda,GR,52.57,broken clouds,35.4844,24.0744,Royal Sun
597,Aguimes,ES,65.66,haze,27.9054,-15.4461,Hotel Villa de Aguimes
598,Sayyan,YE,57.27,clear sky,15.1718,44.3244,ملاطف ابوحورية
601,Northam,GB,52.43,broken clouds,51.0333,-4.2167,Durrant House Hotel
605,Houston,US,59.45,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
606,Jaisinghnagar,IN,55.22,clear sky,23.7,81.3833,Sonu Up Dhawa
626,Syracuse,IT,51.31,clear sky,37.0881,15.2792,Hotel Posta
634,Santona,ES,52.34,clear sky,43.4439,-3.4576,Playamar
638,Lipari,IT,52.79,scattered clouds,38.4674,14.954,Hotel Villa Diana Soc. Clelia Hunziker s.a.s.
639,San Jeronimo,PE,61.95,overcast clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
645,Amalapuram,IN,66.56,clear sky,16.5833,82.0167,swayamprabha service apartments
646,Lerici,IT,51.98,few clouds,44.0759,9.9112,Doria Park Hotel
651,Marsh Harbour,BS,60.13,broken clouds,26.5412,-77.0636,Abaco Beach Resort
658,Greymouth,NZ,55.92,overcast clouds,-42.4667,171.2,Kingsgate Hotel Greymouth
668,San Javier,ES,59.68,clear sky,37.8063,-0.8374,Hotel Mar Menor
674,Tolaga Bay,NZ,55.94,clear sky,-38.3667,178.3,Tolaga Bay Motel
678,Hit,IQ,52.65,broken clouds,33.6416,42.8251,صالون زيرو
692,Ellenabad,IN,55.76,clear sky,29.45,74.65,Lovelysweets
702,Hirara,JP,68.67,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
707,Chachapoyas,PE,67.35,light rain,-6.2317,-77.869,Teresita
